question,answer
*tulit*,third person singular perfect indicative active
*ferre*,present active infinitive
*fert*,third singular present indicative active
*ibat*,third singular imperfect indicative active
*irent*,third plural imperfect subjunctive active
*feratur*,third singular present subjunctive passive
*ferretur*,third singular imperfect subjunctive passive
*it*,third singular present indicative active
*eunt*,third plural present indicative active
*fertur*,third singular present indicative passive
*lati sunt*,third plural perfect indicative passive
*lata sit*,third singular perfect subjunctive passive
*ierint*,third plural perfect subjunctive active
*tulissent*,third plural plurperfect subjunctive active
*lati sint*,third plural perfect passive subjunctive
*latus esset*,third singular pluperfect active subjunctive
