sentence,question,answer,highlight
Lynceus clipeum Abanti filio dedit.,What case is clipeum?,accusative,clipeum
Lynceus clipeum Abanti filio dedit.,What number is clipeum?,singular,clipeum
Lynceus clipeum Abanti filio dedit.,What case is filio?,dative,filio
Lynceus clipeum Abanti filio dedit.,What number is filio?,singular,filio
fecit Hercules gymnicos Pelopi Tantali filio.,What case is gymnicos?,accusative,gymnicos
fecit Hercules gymnicos Pelopi Tantali filio.,What number is gymnicos?,plural,gymnicos
fecit Hercules gymnicos Pelopi Tantali filio.,What case is filio?,plural,filio
Lemniades Hypsipylen regi Lyco in seruitutem uendiderunt.,What case is regi?,dative,regi
Lemniades Hypsipylen regi Lyco in seruitutem uendiderunt.,What number is regi?,singular,regi
Lemniades Hypsipylen regi Lyco in seruitutem uendiderunt.,What case is seruitutem?,accusative,seruitutem
Lemniades Hypsipylen regi Lyco in seruitutem uendiderunt.,What number is seruitutem?,singular,seruitutem
Apollo filios eius interfecit.,What case is filios?,accusative,filios
Apollo filios eius interfecit.,What number is filios?,plural,filios
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What case is filia?,nominative,filia
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What number is filia?,singular,filia
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What case is regem?,accusative,regem
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What number is regem?,singlar,regem
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What case is patri?,dative,patri
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What number is patri?,singular,patri
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What case is regnum?,accusative,regnum
Agaue Cadmi filia regem interfecit et patri suo regnum dedit.,What number is regnum?,singular,regnum
Metapontus duxit coniugio Melanippen filiosque adoptauit.,What case is coniugio?,dative,coniugio
Metapontus duxit coniugio Melanippen filiosque adoptauit.,What number is coniugio?,singular,coniugio
Metapontus duxit coniugio Melanippen filiosque adoptauit.,What case is filios?,accusative,filios
Metapontus duxit coniugio Melanippen filiosque adoptauit.,What number is filios?,plural,filios
Latinus ex suo nomine Latinae linguae nomen imposuit,What case is nomine?,ablative,nomine
Latinus ex suo nomine Latinae linguae nomen imposuit,What number is nomine?,singular,nomine
Latinus ex suo nomine Latinae linguae nomen imposuit,What case is nomen?,accusative,nomen
Latinus ex suo nomine Latinae linguae nomen imposuit,What number is nomen?,singular,nomen
Latinus ex suo nomine Latinae linguae nomen imposuit,What gender is nomen?,neuter,nomen
Latinus ex suo nomine Latinae linguae nomen imposuit,What case is linguae?,dative,linguae
Latinus ex suo nomine Latinae linguae nomen imposuit,What number is linguae?,singular,linguae
